achado,argumento,resultado
Apenas 1 filho,Negativa de união estável,procedente
Apenas 1 filho,Testemunho de terceiros,procedente
Apenas 1 filho,Erro em bases cadastrais,procedente
Apenas 1 filho,Nenhum argumento apresentado,procedente
Apenas 1 filho,Confirma endereço em comum,improcedente
Apenas CadÚnico,Negativa de união estável,procedente
Apenas CadÚnico,Testemunho de terceiros,procedente
Apenas CadÚnico,Erro cadastral comprovado,procedente
Apenas CadÚnico,Nenhum argumento apresentado,procedente
Apenas CadÚnico,Defesa admite filho em comum,improcedente
Apenas CadÚnico,Decisão judicial transitada em julgado,procedente
Apenas CadÚnico,Processo administrativo anterior sem novos elementos,procedente
Filho + endereço,Negativa de união estável,improcedente
Filho + endereço,Testemunho de terceiros,improcedente
Filho + endereço,Erro em bases cadastrais sem prova idônea,procedente
Filho + endereço,Decisão judicial transitada em julgado,procedente
Filho + endereço,Processo administrativo anterior sem novos elementos,procedente
Filho + CadÚnico,Negativa de união estável,improcedente
Filho + CadÚnico,Testemunho de terceiros,improcedente
Filho + CadÚnico,Decisão judicial transitada em julgado,procedente
Filho + CadÚnico,Erro cadastral comprovado,procedente
Mais de 1 filho,Negativa de união estável,improcedente
Mais de 1 filho,Testemunho de terceiros,improcedente
Mais de 1 filho,Decisão judicial transitada em julgado,procedente
Mais de 1 filho,Ameaça de judicialização,improcedente
Endereço em múltiplas bases,Negativa de união estável,improcedente
Endereço em múltiplas bases,Prova documental robusta divergente,improcedente
Endereço em múltiplas bases,Decisão judicial transitada em julgado,procedente
CadÚnico + Endereço em múltiplas bases,Negativa de união estável,improcedente
CadÚnico + Endereço em múltiplas bases,Testemunho de terceiros,improcedente
CadÚnico + Endereço em múltiplas bases,Erro cadastral comprovado,improcedente
CadÚnico + Endereço em múltiplas bases,Nenhum argumento apresentado,improcedente
CadÚnico + Endereço em múltiplas bases,Decisão judicial transitada em julgado,procedente
CadÚnico + Endereço em múltiplas bases,Processo administrativo anterior sem novos elementos,procedente
Pensão do INSS como companheira,Nenhum argumento apresentado,improcedente
Pensão do INSS como companheira,Negativa de união estável,improcedente
Pensão do INSS como companheira,Decisão judicial transitada em julgado,procedente
Pensão do INSS como companheira,Ameaça de judicialização,improcedente
Qualquer achado,Decisão judicial transitada em julgado,procedente
Qualquer achado,Processo administrativo anterior sem novos elementos,procedente
Qualquer achado,Testemunho de terceiros,improcedente
Qualquer achado,Ameaça de judicialização,improcedente
Qualquer achado,Dissolução posterior da união estável,improcedente
